freq,real,imag
1000,-17618,-4839
1100,-14697,-9620
1200,-10842,-12539
1300,-6954,-13689
1400,-3580,-13427
1500,-1044,-12203
1600,558,-10505
1700,1242,-8758
1800,1163,-7320
1900,643,-6392
2000,2,-6004
2100,-497,-6031
2200,-743,-6277
2300,-744,-6574
2400,-565,-6787
2500,-288,-6853
2600,-17,-6767
2700,178,-6568
2800,249,-6327
2900,196,-6119
3000,75,-6003
3100,-48,-5981
3200,-129,-6034
3300,-147,-6117
3400,-111,-6195
3500,-36,-6232
3600,53,-6231
3700,127,-6184
3800,171,-6108
3900,170,-6037
4000,137,-5992
4100,100,-5976
4200,66,-5998
4300,59,-6031
4400,79,-6070
4500,114,-6091
4600,160,-6094
4700,203,-6076
4800,233,-6042
4900,238,-6005
5000,228,-5980
5100,207,-5972
5200,191,-5980
5300,192,-6007
5400,208,-6025
5500,233,-6044
5600,265,-6047
5700,296,-6040
5800,319,-6021
5900,332,-6000
6000,332,-5978
6100,325,-5972
6200,315,-5971
6300,316,-5983
6400,319,-5999
6500,337,-6010
6600,359,-6018
6700,384,-6015
6800,405,-6009
6900,424,-5992
7000,431,-5977
7100,428,-5967
7200,431,-5961
7300,429,-5961
7400,432,-5966
7500,442,-5972
7600,451,-5976
7700,469,-5980
7800,482,-5973
7900,494,-5968
8000,503,-5961
8100,504,-5957
8200,512,-5959
8300,513,-5956
8400,519,-5959
8500,527,-5967
8600,540,-5967
8700,554,-5979
8800,566,-5966
8900,577,-5958
9000,585,-5952
9100,592,-5947
9200,591,-5947
9300,603,-5947
9400,605,-5950
9500,615,-5954
9600,624,-5957
9700,637,-5956
9800,646,-5952
9900,661,-5951
10000,669,-5944
10100,677,-5939
10200,677,-5936
10300,685,-5938
10400,685,-5939
10500,695,-5939
10600,705,-5946
10700,716,-5948
10800,731,-5948
10900,743,-5943
11000,755,-5936
11100,763,-5932
11200,769,-5926
11300,775,-5923
11400,780,-5921
11500,786,-5920
11600,792,-5920
11700,799,-5919
11800,808,-5921
11900,816,-5920
12000,824,-5918
12100,834,-5917
12200,838,-5915
12300,846,-5919
12400,854,-5913
12500,860,-5917
12600,871,-5912
12700,880,-5910
12800,890,-5910
12900,893,-5906
13000,904,-5906
13100,909,-5902
13200,913,-5902
13300,922,-5907
13400,927,-5903
13500,937,-5901
13600,948,-5905
13700,957,-5905
13800,966,-5902
13900,976,-5899
14000,982,-5898
14100,990,-5892
14200,996,-5890
14300,1006,-5886
14400,1010,-5885
14500,1018,-5885
14600,1023,-5887
14700,1034,-5889
14800,1040,-5887
14900,1052,-5883
15000,1060,-5880
15100,1072,-5876
15200,1078,-5876
15300,1084,-5874
15400,1092,-5872
15500,1097,-5869
15600,1104,-5865
15700,1113,-5869
15800,1122,-5868
15900,1128,-5865
16000,1135,-5864
16100,1142,-5864
16200,1152,-5860
16300,1158,-5853
16400,1164,-5853
16500,1173,-5857
16600,1181,-5857
16700,1188,-5853
16800,1195,-5853
16900,1211,-5848
17000,1210,-5850
17100,1221,-5845
17200,1227,-5842
17300,1234,-5840
17400,1242,-5847
17500,1248,-5839
17600,1251,-5840
17700,1260,-5840
17800,1270,-5838
17900,1280,-5839
18000,1289,-5835
18100,1296,-5831
18200,1301,-5828
18300,1309,-5824
18400,1319,-5820
18500,1323,-5821
18600,1327,-5819
18700,1339,-5824
18800,1344,-5822
18900,1355,-5820
19000,1364,-5819
19100,1373,-5816
19200,1380,-5813
19300,1388,-5807
19400,1398,-5805
19500,1405,-5801
19600,1406,-5797
19700,1416,-5797
19800,1422,-5794
19900,1430,-5791
20000,1432,-5794
20100,1442,-5792
20200,1446,-5787
20300,1458,-5786
20400,1460,-5786
20500,1471,-5791
20600,1483,-5784
20700,1487,-5779
20800,1495,-5776
20900,1502,-5774
21000,1510,-5774
21100,1516,-5773
21200,1523,-5768
21300,1528,-5770
21400,1539,-5772
21500,1546,-5766
21600,1553,-5765
21700,1561,-5763
21800,1567,-5762
21900,1576,-5760
22000,1586,-5756
22100,1591,-5753
22200,1598,-5751
22300,1609,-5749
22400,1612,-5745
22500,1622,-5744
22600,1627,-5743
22700,1633,-5740
22800,1641,-5738
22900,1649,-5738
23000,1656,-5735
23100,1665,-5734
23200,1673,-5731
23300,1680,-5725
23400,1688,-5726
23500,1692,-5724
23600,1703,-5720
23700,1712,-5717
23800,1715,-5715
23900,1723,-5712
24000,1731,-5712
24100,1738,-5711
24200,1743,-5709
24300,1749,-5705
24400,1757,-5703
24500,1766,-5699
24600,1772,-5695
24700,1779,-5693
24800,1786,-5693
24900,1792,-5691
25000,1802,-5693
25100,1803,-5699
25200,1816,-5685
25300,1822,-5682
25400,1832,-5677
25500,1835,-5677
25600,1850,-5673
25700,1853,-5670
25800,1861,-5671
25900,1865,-5669
26000,1874,-5667
26100,1881,-5661
26200,1891,-5661
26300,1897,-5654
26400,1903,-5656
26500,1910,-5652
26600,1917,-5647
26700,1924,-5647
26800,1931,-5644
26900,1938,-5643
27000,1944,-5643
27100,1953,-5644
27200,1963,-5639
27300,1971,-5633
27400,1976,-5630
27500,1987,-5626
27600,1990,-5624
27700,1997,-5620
27800,2006,-5616
27900,2005,-5615
28000,2016,-5612
28100,2021,-5606
28200,2029,-5607
28300,2035,-5605
28400,2044,-5604
